,CustomerID,q_recency_last_trx,sqi_sales,sqa_sales,squ_sales,q_recency_first_trx,q_first_last_trx_span,sqi_sales_201112,sqi_sales_201111,sqi_sales_201110,sqi_sales_201109,sqi_sales_2011,sqi_sales_2010,sqi_sales_2009,cluster_result
1,12347,2.873611111111111,8,4921.53,2967,404.9375,402.06388888888887,1.0,0.0,1.0,0.0,6,2,0,Cluster 1 (2154)
2,12348,75.98402777777778,5,2019.4,2714,438.91041666666666,362.9263888888889,0.0,0.0,0.0,1.0,3,2,0,Cluster 1 (2154)
3,12349,19.124305555555555,4,4428.69,1624,589.9791666666666,570.8548611111111,0.0,1.0,0.0,0.0,1,3,0,Cluster 1 (2154)
4,12350,310.8673611111111,1,334.4,197,310.8673611111111,0.0,0.0,0.0,0.0,0.0,1,0,0,Cluster 6 (744)
5,12351,375.89375,1,300.93,261,375.89375,0.0,0.0,0.0,0.0,0.0,0,1,0,Cluster 5 (947)
6,12352,36.925694444444446,10,2849.84,724,393.1041666666667,356.17847222222224,0.0,1.0,0.0,2.0,8,2,0,Cluster 1 (2154)
7,12353,204.79375,2,406.76,212,409.00416666666666,204.21041666666667,0.0,0.0,0.0,0.0,1,1,0,Cluster 1 (2154)
8,12354,232.98541666666668,1,1079.4,530,232.98541666666668,0.0,0.0,0.0,0.0,0.0,1,0,0,Cluster 6 (744)
9,12355,214.95902777777778,2,947.61,543,568.0354166666667,353.0763888888889,0.0,0.0,0.0,0.0,1,1,0,Cluster 1 (2154)
10,12356,23.17361111111111,6,6371.73,3416,425.13055555555553,401.95694444444445,0.0,1.0,0.0,0.0,3,3,0,Cluster 1 (2154)
11,12357,33.863194444444446,3,18287.66,6587,389.1145833333333,355.25138888888887,0.0,1.0,0.0,0.0,1,2,0,Cluster 2 (479)
12,12358,2.1,5,3887.07,1079,732.2020833333333,730.1020833333333,1.0,0.0,0.0,0.0,2,2,1,Cluster 1 (2154)
13,12359,58.00208333333333,10,8873.39,2739,734.9708333333333,676.96875,0.0,0.0,1.0,0.0,4,4,2,Cluster 1 (2154)
